Serial No.,Sub 01 Mark,Sub 02 Mark,Total,Rank
1,81,79,160,1
2,89,70,159,2
3,78,78,156,3
4,82,74,156,3
5,76,79,155,5
6,82,71,153,6
7,81,69,150,7
8,75,75,150,7
9,76,73,149,9
10,76,73,149,9
11,76,73,149,9
12,75,74,149,9
13,82,66,148,13
14,79,69,148,13
15,81,67,148,13
16,79,69,148,13
17,75,72,147,17
18,73,74,147,17
19,73,73,146,19
20,74,72,146,19
21,80,66,146,19
22,75,70,145,22
23,77,68,145,22
24,86,59,145,22
25,68,76,144,25
26,77,67,144,25
27,67,77,144,25
28,83,61,144,25
29,68,76,144,25
30,78,66,144,25
31,69,74,143,31
32,69,74,143,31
33,72,71,143,31
34,81,62,143,31
35,77,66,143,31
36,68,75,143,31
37,70,72,142,37
38,80,62,142,37
39,74,68,142,37
40,74,68,142,37
41,79,63,142,37
42,72,70,142,37
43,78,63,141,43
44,79,62,141,43
45,71,70,141,43
46,63,78,141,43
47,70,71,141,43
48,81,60,141,43
49,72,68,140,49
50,76,64,140,49
51,78,62,140,49
52,72,68,140,49
53,62,78,140,49
54,74,66,140,49
55,72,68,140,49
56,65,75,140,49
57,65,75,140,49
58,69,71,140,49
59,68,72,140,49
60,67,73,140,49
61,68,71,139,61
62,63,76,139,61
63,63,76,139,61
64,74,65,139,61
65,62,77,139,61
66,71,68,139,61
67,64,75,139,61
68,71,68,139,61
69,77,62,139,61
70,67,72,139,61
71,58,80,138,71
72,70,68,138,71
73,81,57,138,71
74,62,76,138,71
75,67,71,138,71
76,65,73,138,71
77,62,75,137,77
78,71,66,137,77
79,75,62,137,77
80,67,70,137,77
81,72,65,137,77
82,74,63,137,77
83,81,56,137,77
84,67,70,137,77
85,67,70,137,77
86,77,60,137,77
87,63,74,137,77
88,65,72,137,77
89,73,64,137,77
90,68,69,137,77
91,65,71,136,91
92,63,73,136,91
93,79,57,136,91
94,71,65,136,91
95,65,71,136,91
96,72,64,136,91
97,67,69,136,91
98,64,72,136,91
99,72,64,136,91
100,78,58,136,91
101,69,67,136,91
102,60,76,136,91
103,57,79,136,91
104,63,72,135,104
105,63,72,135,104
106,69,66,135,104
107,71,64,135,104
108,68,67,135,104
109,62,73,135,104
110,65,70,135,104
111,61,74,135,104
112,65,70,135,104
113,61,73,134,113
114,65,69,134,113
115,62,70,132,153
116,71,61,132,153
117,74,58,132,153
118,59,73,132,153
119,67,65,132,153
120,60,72,132,153
121,68,64,132,153
122,62,70,132,153
123,58,74,132,153
124,60,72,132,153
125,67,64,131,163
126,57,74,131,163
127,72,59,131,163
128,66,65,131,163
129,63,68,131,163
130,59,72,131,163
131,67,64,131,163
132,58,73,131,163
133,60,71,131,163
134,60,71,131,163
135,65,66,131,163
136,63,68,131,163
137,69,62,131,163
138,77,54,131,163
139,62,69,131,163
140,55,76,131,163
141,75,56,131,163
142,58,73,131,163
143,63,68,131,163
144,66,65,131,163
145,61,70,131,163
146,67,64,131,163
147,59,72,131,163
148,65,66,131,163
149,64,67,131,163
150,60,71,131,163
151,65,66,131,163
152,62,68,130,190
153,57,73,130,190
154,64,66,130,190
155,61,69,130,190
156,67,63,130,190
157,55,75,130,190
158,72,58,130,190
159,61,69,130,190
160,58,72,130,190
161,58,72,130,190
162,57,73,130,190
163,67,63,130,190
164,69,61,130,190
165,74,56,130,190
166,60,70,130,190
167,68,62,130,190
168,70,60,130,190
169,56,74,130,190
170,56,74,130,190
171,58,72,130,190
172,71,59,130,190
173,70,60,130,190
174,59,71,130,190
175,65,65,130,190
176,56,74,130,190
177,68,62,130,190
178,61,69,130,190
179,59,71,130,190
180,63,67,130,190
181,68,62,130,190
182,74,56,130,190
183,60,69,129,221
184,60,69,129,221
185,61,68,129,221
186,59,70,129,221
187,61,68,129,221
188,68,61,129,221
189,65,64,129,221
190,59,70,129,221
191,67,62,129,221
192,69,60,129,221
193,61,68,129,221
194,72,57,129,221
195,57,72,129,221
196,64,65,129,221
197,63,66,129,221
198,69,60,129,221
199,67,62,129,221
200,62,67,129,221
201,69,60,129,221
202,58,71,129,221
203,66,63,129,221
204,65,64,129,221
205,58,71,129,221
206,63,66,129,221
207,67,62,129,221
208,65,64,129,221
