Serial No.,Sub 01 Mark,Sub 02 Mark,Total,Rank
1,74,74,148,1
2,68,76,144,2
3,60,80,140,3
4,80,56,136,4
5,78,58,136,4
6,68,68,136,4
7,58,78,136,4
8,56,78,134,8
9,66,66,132,9
10,50,72,132,9
11,70,60,130,11
12,74,56,130,11
13,84,66,130,11
14,84,66,130,11
15,56,74,130,11
16,66,62,128,15
17,50,68,128,16
18,52,75,128,16
19,58,70,128,16
20,74,54,128,16
21,50,68,128,16
22,64,62,126,22
23,72,54,126,22
24,66,60,126,22
25,68,60,126,22
26,62,64,126,22
27,74,52,126,22
28,58,70,126,22
29,58,68,126,22
30,50,76,126,22
31,62,64,126,22
32,58,68,126,22
